eta,lambda,accuracy,iteration,time
0.010,0.001,0.8167,2941,2567.64
0.010,0.002,0.8194,2671,2358.28
0.010,0.003,0.8233,2604,2576.28
0.010,0.005,0.8211,2753,2366.94
0.010,0.006,0.8189,2985,2750.76
0.010,0.007,0.8167,2553,1987.90
0.008,0.001,0.8150,2971,2269.17
0.008,0.002,0.8128,2474,2256.01
0.008,0.003,0.8167,2999,2198.02
0.008,0.005,0.8106,2782,2199.80
0.008,0.006,0.8228,2986,2192.92
0.008,0.007,0.8133,2774,1602.69
0.008,0.009,0.8172,2797,1499.43
0.008,0.010,0.8178,2951,1529.36
0.007,0.001,0.8089,2904,1403.06
0.007,0.002,0.8133,2998,1425.39
0.007,0.003,0.8133,2856,1400.97
0.007,0.005,0.8122,2787,1397.40
0.007,0.006,0.8111,2624,1403.18
0.007,0.007,0.8078,2752,1394.04
0.007,0.009,0.8111,2802,1402.33
0.007,0.010,0.8083,2941,1411.68
0.006,0.001,0.8072,2830,2760.87
0.006,0.002,0.8156,2938,2773.60
0.006,0.003,0.8039,2992,2761.10
0.006,0.005,0.8050,2204,2688.98
0.006,0.006,0.8056,2206,2653.53
0.005,0.001,0.8094,2844,1492.33
0.005,0.002,0.8011,2815,1486.09
0.005,0.003,0.8083,2999,1477.99
0.005,0.005,0.8050,2750,1408.72
0.005,0.006,0.7994,2651,2959.51
0.005,0.007,0.8022,2882,2539.71
0.005,0.009,0.8039,2206,2601.66
0.004,0.001,0.8067,2385,2340.47
0.004,0.002,0.8078,2761,2379.67
0.004,0.003,0.8067,2447,2337.99
0.004,0.005,0.8044,2819,2356.69
0.004,0.006,0.8028,2288,2346.65
0.004,0.007,0.8056,2752,1738.88
0.004,0.009,0.8044,2660,1396.87
0.003,0.001,0.8039,2658,2414.20
0.003,0.002,0.8122,2760,2340.07
0.003,0.003,0.8111,2998,2338.80
0.003,0.005,0.8139,2643,2300.99
0.003,0.006,0.7989,2830,2216.44
0.003,0.007,0.7994,2225,2228.06
0.002,0.001,0.8272,2938,1428.07
0.002,0.002,0.8283,2764,1475.10
0.002,0.003,0.8283,2980,1408.38
0.002,0.005,0.8272,2988,1424.73
0.002,0.006,0.8272,2998,1431.86
0.002,0.007,0.8261,2722,1412.99
0.002,0.009,0.8278,2918,1558.00
0.002,0.010,0.8267,2770,1849.26
0.001,0.001,0.8317,2955,1480.73
0.001,0.002,0.8322,2991,1496.49
0.001,0.003,0.8328,2996,1475.74
0.001,0.005,0.8328,2960,1485.64
0.001,0.006,0.8317,2944,1478.12
0.001,0.007,0.8328,2992,1490.09
0.001,0.009,0.8322,2999,1689.67
0.001,0.010,0.8317,2907,2581.56
